,,,,,,,,,,,,,,,
,2.4,"Are minimum rest hours provided to all crew in accordance with MLC? (Recordkeeping of mandatory and internal training, 1 rest day per week during berthing or dock, event of UMA, bunkering, disembarking crew) 
최소 휴식시간 제공(법정/자체 교육, 정박/입거 중 1주에 1일 이상 휴식, UMA, 벙커링, 하선자 근무 기록 등)",,,,,,,6,,,,,,
,2.5,"Check Seafarer's Employment Agreement.(keep original hold by crew and copy hold by MSTR, keep previous contracts together after renewal) 
근로계약서 확인 (계약서 원본은 선원 사본은 선장 보관, 갱신 후 이전 계약서 같이 보관)",,,,,,,2,,,,,,
,2.6,"Check Payslip.(providing monthly pay slip and confirming signature). 
급여 명세서 확인 (급여명세서 매월 제공 및 서명 확인)",,,,,,,2,,,,,,
,2.7,"Are all relevant documents provided to all crew in accordance with MLC? (check payment of wages, seafarers' employment agreements, standard medical report, procedure of complaint, etc) 
MLC 관련 문서 제공 (임금 지급 내역, 선원 고용계약서, 표준 건강진단서, 불만처리 절차 등 확인)",,,,,,,4,,,,,,
,2.8,"Are postings related to MLC onboard? (P&I MLC Certificate-Reg 2.5/4.2, MLC certificate, onboard complaint guide, seafarers' insurance wage claim guarantee fund certificate, working arrangement, DMLC part 1, 2, The letter of appointment, etc) 
MLC 관련 게시물 선내 게시 (P&I MLC 증서?규정 2.5/4.2, MLC 증서, 선내 고충 처리 안내서, 선원 보험·임금 청구 보증 기금 증서, 근무 배치표, DMLC part 1, 2, 임명장 등)",,,,,,,4,,,,,,
,2.9,"Familiarization of onboard complaint handling procedures. 
불만처리절차 친숙화",,,,,,,2,,,,,,
,2.10,"Familiarization of duty for each responsible person such as Safety officer, Safety Representative, Health Officer, etc.  
안전담당자, 안전대표자, 건강담당자 등 각 담당자 직무 숙지",,,,,,,4,,,,,,
,2.11,"Are certificates for wire(gangway, pilot ladder, crane, etc.) available and installation date be marked? 
갱웨이, 파일럿 래더, 크레인 등 wire rope 증서 관리(증서, 신환일)",,,,,,,4,,,,,,
,2.12,"Check the implementation status of the official document. (Training, execution)  
지침성 공문 숙지 및 이행",,,,,,,6,,,,,,
,2.13,"Are the Master, C/E, Senior Officer familiar with the Risk assessment and management?  
선기장, 선임사관 위험성 평가 및 관리 친숙화",,,,,,,4,,,,,,
,2.14,"Are the Master, C/E, Senior Officer familiar with and managing Non-conformity management (Non-conformity management log, monitoring of corrective action)?  
선기장, 선임사관의 부적합 관리 및 친숙화 (부적합 관리대장, 시정조치 이행 모니터링 여부 확인)",,,,,,,4,,,,,,
,2.15,"Is the Stopping work and response training carried out with satisfaction in accordance with the procedure?  
작업 중지 및 대응 훈련 실시 및 기록",,,,,,,3,,,,,,
,2.16,"Is the ship's crew familiar with the security patrol, duties, security level, threatening security?  
보안 순찰 방법, 보안 임무, 보안등급, 보안위협 등 친숙화",,,,,,,2,,,,,,
,2.17,"ISPS drill and exercise 
보안훈련 실시 및 기록",,,,,,,4,,,,,,
,3 Document(Deck),,,,,,,,,,,,,,
,3.1,"Is the latest PSC inspection and internal/external audit free of NC or deficiencies or, if not, are the pending items properly followed up?
PSC 검사, 내외부심사 결함사항 처리상태",,,,,,,8,,,,,,
,3.2,"Is the document related ship security managed properly as per procedure? (SSP, SSA, SSR, Joint ship-shore security exercise, etc) 
보안관련 기록서 관리 (SSP, SSA, SSR, 선박-육상 합동 보안 훈련 등)",,,,,,,6,,,,,,
,3.3,"Are training and education kept in record and executed according to the procedure? 
훈련 및 교육 이행상태 확인",,,,,,,9,,,,,,
,3.4,"Is the deck log book recorded essential entries without omitting them?  (Drill records, drill details in the deck log book is in accordance with training records, working language, company guide, ballast tank sounding, hold bilge sounding, etc.)  
갑판 로그북 필수 기재사항 누락 확인 (훈련 기록, 로그북과 훈련기록 일치, 사용언어, 회사지침 준수, 평형수 탱크 측심, 화물창 빌지 측심 등)",,,,,,,6,,,,,,
,3.5,"Is the new joiner's essential familiarization guidance provided and educated for the new joiner? 
신규 승선자 친숙화 교육",,,,,,,6,,,,,,
,3.6,"Is the Master's review including the company's reply carried out in accordance with the ISM code? (Circulation to all crew)  
선장의 검토 시행 (전 승조원 회람 여부)",,,,,,,2,,,,,,
,3.7,"Are reefer CNTRs monitored according to the procedures and is this recorded? (monitoring log, loading checklist, photo, RCM, etc)
냉동 화물 관리 및 관련 기록 유지(monitoring log, loading checklist, 사진, RCM 등)",,,,,,,6,,,,,,
,3.8,"Is the DG/OOG cargo managed according to the procedures? (Segregation, document, DG/OOG list, loading checklist, etc) 
DG/OOG 화물 관리(격리, 서류, DG/OOG list, loading checklist 등)",,,,,,,8,,,,,,
,3.9,"Are the vessel's stability and cargo safety reviewed according to the procedures? (Check to have any irregular stowage or not, have original stability booklet or not, VGM, Company procedures followed, etc)  
감항성 및 화물 안전 검토 (부적절한 화물적재, 복원성 책자 원본 보유여부, VGM, 회사 절차 이행 여부 등)",,,,,,,8,,,,,,
,3.10,"Is the lashing gear inspected periodically in accordance with CSM? (Check Inspection/Maintenance Record of cargo lashing equipment, standard and onboard quantity of lashing gear, Only cargo securing devices listed in the CSM are used, etc) 
CSM에 따른 화물고박장치 점검 및 관리 (화물고박장치 유지/보수 기록표, 표준 수량 보유, CSM에 등재된 화물고박장치 사용 등)",,,,,,,9,,,,,,
,3.11,"Is the ship's crew familiar with the procedure of cargo hold bilge handling?
화물창 빌치 처리절차 친숙화",,,,,,,4,,,,,,
,3.12,"Is the ship's crew familiar with the ballast water handling? 
평형수 처리절차 친숙화",,,,,,,9,,,,,,
,3.13,"Ballast tank level gauge calibration(record, calibrating period, level gauge condition) 
원격 게이지 검교정 이행(기록, 검교정 주기, 게이지 상태)",,,,,,,6,,,,,,
,3.14,"Condition of BWTS. (working condition, alarm, etc.) 
BWTS 작동 상태 (작동상태, 알람 등)",,,,,,,9,,,,,,
,3.15,"Are the Ballast Water Record Book filled in properly and completely? (Accurate entries) 
선박평형수 일지 관리(기재사항의 정확성)",,,,,,,9,,,,,,
,3.16,"Are officers familiar with KINS program? (Input data on PMS/Repair/Stock/Tally, NC/CA report) 
KINS 사용 친숙화 (PMS/수리/재고/결과 관리, NC/CA 결과입력)",,,,,,,6,,,,,,
,3.17,"Are the Garbage record book filled in properly and completely? (Accurate entries, No discharge of food waste within the Chinese baseline, Garbage Delivery Receipt, etc) 
폐기물 관리 기록부 관리(기재사항의 정확성, 특히 중국 기선 내 음식물 투기 금지, 폐기물 양륙증 등)",,,,,,,6,,,,,,
,3.18,"Circulation and management of Mooring system & line management plan. (Management of Hawser rope certificates, Hawser Rope Management Record)
MSMP 관리 및 회람 (계류삭 증서 관리, 계류삭 관리 기록 최신화)",,,,,,,6,,,,,,
,3.19,"Work safety procedure as per company policy.(work permit, Risk Assessment, inspection/maintenance plan,  TBM, MSTR & C/E's confirmation, etc) 
작업 안전 절차 이행 여부(작업허가, 위험성 평가, 작업 계획, TBM, 선장/기관장 확인 등)",,,,,,,9,,,,,,
,3.20,"Are the works by subcontractors followed procedure?(work permit, safety checklist)  
외부업체 작업 절차 준수 여부",,,,,,,9,,,,,,
,3.21,"Record of LSA&FFA maintenance log. 
소화구명설비 유지 기록",,,,,,,16,,,,,,
,4 Bridge,,,,,,,,,,,,,,
,4.1,"Is the passage plan performed correctly and from berth to berth? (check passage plan(including UKC), position fixing on chart, UKC monitoring-echo sounder depth alarm, NGA, abort line, etc)  
적절한 항해계획 수립 및 이행 (항해계획(UKC 포함), 해도상 위치 표기, UKC 모니터링-에코사운더 알람, NGA, 어보트 라인 설정 등)  ",,,,,,,12,,,,,,
,4.2,"Are the chart and publication performed correction up to date? (Lights list, Tide table, Sailing direction, IAMSAR Manual) 
해도 및 수로서지 최신화 (등대표, 조석표, Sailing direction, IAMSAR Manual 등)",,,,,,,9,,,,,,
,4.3,"Are indicators in good condition? (have correction or not)  
각 종 지시기 상태",,,,,,,4,,,,,,
,4.4,"Is the damage control plan readily available onboard?  
손상 제어 자료 비치 및 친숙화 상태",,,,,,,4,,,,,,
,4.5,"Is the night order book recorded and standing orders posted? (Master's order, take over item between D/O)  
야간 지시록 (선장의 지시 사항 기재, 당직사관 인수인계 기재)",,,,,,,2,,,,,,
,4.6,"Is magnetic compass inspected regularly? (check lighting, bubble, deviation table)  
자기 컴파스 상태 (조명상태, 기포, 자차곡선도)",,,,,,,6,,,,,,
,4.7,"Is the compass error checked as per the company's procedure?  
컴파스 오차 기록부",,,,,,,4,,,,,,
,4.8,"Is the GMDSS equipment inspected periodically and in an apparent operational condition? (check the record, actual test by deck officer about DSC, relay, cancel, DC operation, EPIRB(HRU), SART, Two-way VHF)  
GMDSS 장비의 정기적인 점검, 항해사관 친숙화 (점검 기록, 항해사관에 의한 실제 테스트, DSC 송수신, 릴레이/취소, DC 전원 운전, EPIRB(HRU), SART, 2-way VHF 작동법 숙지)",,,,,,,12,,,,,,
,4.9,"Is the daylight signal operable by the battery? (check the portable battery, operation at both ship sides,  at least 3 spare bulbs)  
주간 신호등 상태 (이동가능한 내장배터리, 양현사용가능, 3개이상 예비전구)",,,,,,,2,,,,,,
,4.10,"Are the fire alarm and detection system in operational condition? (no fault/isolation, emergency power, alarm in 2 min, detector test, spare)  화재 감시 및 경보 시스템 상태 (Fault alarm 및 차단 유무, 비상전원, 2분내 응답, 예비품)",,,,,,,12,,,,,,
,4.11,"Is the public address system in an operational condition? (announcement can be heard in living area and E/R)  
선내 방송 및 경보 설비 상태 (거주구역 및 기관실 내 방송 및 경보 청취 가능 여부)",,,,,,,2,,,,,,
,4.12,"Is the navigation equipment in good working condition? (AIS, Echo sounder, VDR, Course recorder, etc)  
항해기기 작동 상태 (AIS, 에코사운더, VDR, Course recorder 등)",,,,,,,6,,,,,,
,4.13,"Is the deck officer familiar with ECDIS? (check certificate & familiarization record, safety information in use, setting safety contour, etc) 
항해사관 ECDIS 친숙화 (친숙화 기록 및 증서, 안전정보 사용, safety contour 설정 등)",,,,,,,6,,,,,,
,4.14,"Is the ECDIS in operational condition? (operation test, version of ENC,  operation under emergency power) 
ECDIS 작동 상태 (작동시험, ENC 최신화, 비상전원)",,,,,,,3,,,,,,
,4.15,"Is the deck officer familiar with the operation of navigation/radio equipment? (ask to officer how to operate, test, maintain, VDR back up)  
항해사관의 항해/통신 장비 친숙화 (항해사관에게 작동방법, 테스트 방법, 정비, VDR 백업 등 질의)",,,,,,,6,,,,,,
,4.16,"Is the lighting system panel in operational condition? (Navigation light panel : alarm test, pilot lamp, by emergency power)  
항해등 판넬 작동 상태(알람 작동, pilot lamp, 비상전원 작동)",,,,,,,4,,,,,,
,4.17,"Is navigational light in a good condition? (Matt black paint, required angles, no damage, NUC)  
항해등 작동 상태 (무광 검정색, 규정각도, 파손, NUC)",,,,,,,8,,,,,,
,4.18,"Test of security equipment(SSAS) 
보안장비 관리 및 시험",,,,,,,2,,,,,,
,4.19,"Is the fire door with the self-closing device in good condition? (check working condition, deform/hole, no holding back)  
방화문 상태 (작동상태, 변형/구멍, holding back 장치제거)",,,,,,,6,,,,,,
,4.20,"Is relevant equipment for lifesaving on the bridge in good condition? (immersion suit : zipper, sewing parts, type and size / life jacket : lighting, marking, condition /Rocket Parachute Distress Signal / Line Throwing Appliance) 
선교 구명 설비 (방수복 : 지퍼 / 봉제 부위, 종류 및 사이즈 / 구명조끼 : light, 마킹, 상태 / Rocket Parachute Distress Signal / Line Throwing Appliance)",,,,,,,9,,,,,,
,4.21,"Condition of window wiper. 
윈도우 와이퍼 상태",,,,,,,4,,,,,,
,4.22,"Arrangement and cleanliness of Nav. Equip locker. 
창고 정리정돈 상태",,,,,,,2,,,,,,
,5 Outside of Accomodation,,,,,,,,,,,,,,
,5.1,"Is relevant equipment for lifesaving and search light on the wing bridge in good condition? (MOB : quick release, expiration date, line connection / EPIRB : maker label)
윙브릿지 구명 설비 (MOB : quick  release, 유효기간, line 연결 상태 / EPIRB : 제조사 라벨) 및 탐조등 상태",,,,,,,9,,,,,,
,5.2,"Condition of Flag. (flag status, flag hanging rope, etc). 
깃발 상태 (깃발 상태, 깃줄 상태 등)",,,,,,,2,,,,,,
,5.3,"Condition of Radar mast, Signal light tree post, air horn on top bridge. 
항해/신호등 지주대, 레이더 마스트, 기적 상태",,,,,,,9,,,,,,
,5.4,"Condition of each antenna and post. 
안테나 및 지주대 상태",,,,,,,6,,,,,,
,5.2,"Are the vessel's Garbage management procedures followed properly? (use a non-flammable garbage can, condition of garbage storage, segregation status, keep cover, posting of placards, management of food waste)  
폐기물 관리 절차 이행 여부 (불연성 쓰레기통 사용 여부, 쓰레기 보관 상태, 분리수거 상태, 쓰레기통 커버, 플래카드 부착 여부, 음식물 쓰레기 관리 등) ",,,,,,,12,,,,,,
,5.5,"Is the weather-tight door in good condition? (check packing, deform) 
풍우밀문 상태 (패킹, 변형)",,,,,,,12,,,,,,
,5.6,"Is the restricted area controlled in accordance with the ship security plan? (warning notice, seal, locking condition, etc)  
선박 보안 계획에 따른 제한 구역 관리 (warning notice, seal, 잠금 상태 등)",,,,,,,6,,,,,,
,5.7,"Is relevant equipment for fire fighting in good condition? (fire box, fire hose/hydrant leakage, international shore connection, fire extinguisher, water mist lance and monitor)  
소화 설비 상태 (소화박스, 소화호스/소화전 누수, 국제 육상 연결구, 소화기, water mist lance and monitor)",,,,,,,12,,,,,,
,5.8,"Is there any obstructed object to use of FFE & LSA?  
소화 구명 설비 사용에 장애물 존재 유무",,,,,,,4,,,,,,
,5.9,"Is isolating valve in good condition? (moving, marking)  
Isolating V/V 상태 (고착, 마킹)",,,,,,,12,,,,,,
,5.10 ,"Are the pneumatic & electric working tools in good condition?  
작업공구 상태",,,,,,,2,,,,,,
,5.11,"Is the provision/monorail crane in good condition? (wire condition, sheave, cargo block, limit switch, body structure, operation test, safety latch, controller box, greasing, oil leakage)  
프로비젼/모노레일 크레인 상태 (와이어, sheave, cargo block, 리미트 스위치, 외관상태, 작동상태, safety latch, 컨트롤러박스, 그리싱, 누유)",,,,,,,12,,,,,,
,5.12,"Condition of F.O hose Davit.(sheave, wire, hook, safety latch, limit switch) 
F.O 호스데빗 상태 (sheave, 와이어, 후크, safety latch, 리미트스위치)",,,,,,,6,,,,,,
,5.13,"Are emergency lights operable?  
비상등 작동 상태",,,,,,,4,,,,,,
,5.14,"Condition of handrail, stairway step, vertical ladder. 
핸드레일, 계단, 수직 사다리 상태",,,,,,,4,,,,,,
,5.15,"Condition of bunker station.(Bunker transfer procedure drawing, pipe, manifold, oil coaming, emergency stop box, flange thickness etc.) 
연료유 수급 장소(수급절차 도면, 파이프, 매니폴드, 오일코밍, 비상정지,
플렌지 두께 등)",,,,,,,12,,,,,,
,5.16,"Are safety symbols and marking clear and legible? (IMO symbol, S.W.L, open/close marking, etc)
안전 심볼 및 각종 마킹 상태(IMO심볼, S.W.L, open/close 마킹 등)",,,,,,,6,,,,,,
,5.17,"Condition of floor, wall, drain pipe, etc. 
거주구 벽, 바닥, 파이프 등 상태",,,,,,,4,,,,,,
,5.18,"Condition of Oxygen & acetylene store. (symbol, obstacles, etc.)
산소 아세틸렌 창고 상태",,,,,,,4,,,,,,
,5.19,"Are the locker and store in tidy, clean condition?  
창고 정리정돈 상태",,,,,,,2,,,,,,
,6 Galley,,,,,,,,,,,,,,
,6.1,"Is the galley and mass room in a clean and hygienic condition? (provision : condition of storage) 
주방 및 식당 위생 상태 (주부식 보관)",,,,,,,6,,,,,,
,6.2,"Conformance of expiry date marked at foodstuff. 
식재료에 표기된 유통기한 준수",,,,,,,6,,,,,,
,6.3,"Should wear uniform including sanitary suit and hat cleanly. 
위생복, 위생모 등 복장을 청결하고 올바르게 착용",,,,,,,1,,,,,,
,6.4,"Check storage condition(Separate vegetable, meat, fish, etc., Separation from the floor, Arrangement of storage). 
보관 상태 확인(야채, 육류, 어류 등 분리, 바닥과의 이격, 정리정돈)",,,,,,,4,,,,,,
,6.5,"Condition of meat and vegetable room(temperature, cooling fan, controlling frost, etc.) 
냉장, 냉동 창고 상태(온도, 냉각팬, 성에 등)",,,,,,,4,,,,,,
,6.6,"Condition of drinking water dispenser.(record of inspection tag) 
냉온수기 청결 상태 (냉온수기 점검 tag 기록)",,,,,,,1,,,,,,
,6.7,"Management of waste(covering and sealing, stink, cleanliness near waste storage bin, flies or any bugs, etc.) 
쓰레기 관리 (밀봉 및 커버, 악취, 쓰레기통 주변 청결상태, 파리나 벌레 유무, 등)",,,,,,,6,,,,,,
,6.8,"Is the fire door with the self-closing device in good condition? (check working condition, deform/hole, no holding back)  
방화문 상태 (작동상태, 변형/구멍, holding back 장치제거)",,,,,,,9,,,,,,
,6.9,"Is relevant equipment for fire fighting in good condition? (portable extinguisher, galley fire extinguishing system)  
소화 설비 상태 (소화기, 주방 소화 장비)",,,,,,,6,,,,,,
,7 Living Quarter,,,,,,,,,,,,,,
,7.1,"Does crew living area comply with MLC?(adequate artificial light, hot & cold water, suitable & sufficient toilet provision, showers, etc)  
거주구역 위생상태 MLC 준수 여부 (조명, 온수 및 냉수 공급, 적합한 화장실 및 샤워설비 등)",,,,,,,2,,,,,,
,7.2,"Is the fire alarm system operating without any fault? (detector test, audible/visible alarm, MCP) 
화재 감시 장치 작동 상태 (detector 테스트, 가시가청경보, MCP)",,,,,,,6,,,,,,
,7.3,"Is the fire door with the self-closing device in good condition? (check working condition, deform/hole, no holding back) 
 방화문 상태 (작동상태, 변형/구멍, holding back 장치제거)",,,,,,,6,,,,,,
,7.4,"Are watch keeping schedule, Muster list and appointment posted in prominent places? 
근무 계획표, 비상배치표 및 임명장 게시 상태",,,,,,,2,,,,,,
,7.5,"Is the SOLAS training manual in the mess room, recreation room up to date? (update when change equipment)  
식당, 휴게실의 SOLAS Training Manual 최신화",,,,,,,4,,,,,,
,7.6,"Are the hospital and medicine/medical equipment in tidy, clean condition?
선내 병원 및 의약품/의료용품 관리, 정리정돈 상태",,,,,,,4,,,,,,
,7.7,"Management of AED. (Instruction, obstacle, etc.) 
AED 관리 상태 (지침서 게시, 장애물 등)",,,,,,,1,,,,,,
,7.8,"Are the fire integrity and installation of the compound in the cable duct in good condition?  
케이블 덕트의 방열성 및 compound 시공 상태",,,,,,,8,,,,,,
,7.9,"Is relevant equipment for lifesaving in good condition? (life jacket, immersion suit, EEBD)  
거주구역 구명 설비 상태 (구명조끼, 방수복, EEBD)",,,,,,,6,,,,,,
,7.10 ,"Is relevant equipment for fire fighting in good condition? (portable extinguisher)  
소화 설비 상태 (소화기)",,,,,,,6,,,,,,
,7.11,"Arrangement and cleanliness of locker (changing room, deck general store, cable trunk/duct). 
창고 정리정돈 (changing room, 갑판 일반 창고, 케이블트렁크)",,,,,,,2,,,,,,
,8 Emergency Equipment,,,,,,,,,,,,,,
,8.1,"Is the emergency generator worked in a good condition? (blackout test, ACB test, fuel quantity(for 18 hours), all the starting means of the emergency generator operating, gauges, isolate valve from fuel)  
비상발전기 정상 작동 상태 (Blackout test, ACB 자동투입 확인, 연료량
(18시간 작동), 비상발전기 모든 기동 수단 작동 여부, 게이지, 연료유탱크 차단밸브) ",,,,,,,16,,,,,,
,8.2,"Does the crew familiar with operating procedures for the emergency generator?  
비상발전기 작동법 친숙화",,,,,,,12,,,,,,
,8.3,"Arrangement and management of Emergency G/E room. (light, louver vent, outlet pipe, quick closing V/V remote wire, telephone, etc) 
비상발전기실 관리 및 정리정돈 (조명, louver vent, outlet pipe, quick closing V/V remote wire, 전화기 등)",,,,,,,9,,,,,,
,8.4,"Is an emergency fire pump possible for two jets more than 10 meters? (Starting(several times if possible, instructing the caution of low draft starting. self ejecting functioning, vacuum pump, check leakage) 
Two jets of water test f'cle and wing bridge, suction pressure, protection of suction or discharge piping penetrating E/R, overhauling the exhaust pipe if necessary)  
비상소화펌프 정상 작동 상태 (비상소화펌프 기동, 저흘수 상태 기동시 주의사항 숙지, self ejecting functioning, 진공펌프 상태, 누설여부 확인)
선수갑판 및 윙 브릿지에서 2개 물줄기 분사 시험, 흡입 압력 확인, 기관실 관통 흡입, 토출 배관 보호 상태, 필요 시 배기관 오버홀 여부",,,,,,,12,,,,,,
,8.5,"Is the battery for GMDSS charged? (recharging, connecting cable, explosion-proof lamp)  
GMDSS 용 배터리 관리 상태 (충전상태, 케이블 연결상태, 방폭등)",,,,,,,4,,,,,,
,8.6,"Arrangement of battery room.(insulation, PPE, marking, safety sign) 
배터리룸 정리정돈(단열재, PPE, 마킹, 안전표지) ",,,,,,,4,,,,,,
,8.7,"Condition of fixed CO2 extinguisher system (Bottle contents, hydro test date, hose condition, insulation, safety outlet, safety pin A, B type, remote control line, etc)  
고정식 CO2 소화설비 상태 (용기 충전상태, hydro test 날짜, 호스 상태, 단열상태, safety outlet, safety pin A, B type, remote control line 등)",,,,,,,8,,,,,,
,8.8,"Arrangement and management of CO2 room. (lighting, tools, etc.) 
CO2 room 정리정돈 및 관리 (조명, 도구 등)",,,,,,,4,,,,,,
,8.9,"Condition of cargo hold smoke detector. (panel, hose, suction pipe, filter, etc)
화물창 화재 감지기 상태 (판넬, 호스, suction pipe, 필터, etc.)",,,,,,,6,,,,,,
,8.10,"Is the onboard crew familiar with how to operate fixed CO2 extinguisher system?   
고정식 CO2 소화설비 사용법 친숙화",,,,,,,8,,,,,,
,8.11,"Are the F.C.S. and Safety Equipment Locker mangement well? (Emergency shut off system, Light, Recharging materials, FMO, LSA/FFE spares, etc) 
F.C.S., 안전비품 창고 관리 상태 (Emergency shut off system, 조명, 충전 자재, 소방원 장구, 구명 소화설비 스페어 등)",,,,,,,9,,,,,,
,8.12,"Is the fireman's outfits in good condition? (Separate stowage, bottle pressurized date, and contents, belongings, mask, tranceiver, etc)  
소방원 장구 상태 (분리보관, bottle 압력 시험날짜 및 충전상태, 구성품, 마스크, 무전기 등)",,,,,,,9,,,,,,
,8.13,"Are safety symbols and marking clear and legible? (IMO symbol, S.W.L, open/close marking, etc)
안전 심볼 및 각종 마킹 상태(IMO심볼, S.W.L, open/close 마킹 등)",,,,,,,4,,,,,,
,9 Boat Deck,,,,,,,,,,,,,,
,9.1,"Is the liferaft in good condition? (HRU, Weak link, any obstruction above)  
구명벌 상태 (자동이탈기 상태, weak link, 상부장애물 여부)",,,,,,,4,,,,,,
,9.2,"Lifeboat condition? (hull condition, marking/painting, window, crack, insulation, door, rudder, propeller)  
구명정 상태 (외관 부식 파공 크랙, 마킹/페인팅, 창문, 타)",,,,,,,12,,,,,,
,9.3,"Lifeboat equipment. (bottom plug, magnetic compass, tiller, search/nav light, reflection tape, validity & qty, safety belt, embarkation ladder,  hanging off pendent wire, recovery strop, bilge pump, etc)  
구명정 비품 상태 (bottom plug, 자기 나침반, 타륜, 탐조등/항해등, 역반사 테이프, 유효기간 및 수량, 안전벨트, 승정 사다리, hanging off pendent wire, recovery strop, bilge pump 등)",,,,,,,9,,,,,,
,9.4,"Is the lifeboat davit in operational/good condition? (check crack, hole, excessive corrosion, working condition, limit switch, greasing, sheave, suspension link, stopper, etc)  
구명정 진수 설비 상태 (크랙, 파공, 과도한 부식, 작동상태, 리미트스위치, 그리싱, sheave, suspension link, stopper 등)",,,,,,,12,,,,,,
,9.5,"Are the lifeboat winch and fall wire in good condition? (renew date marking of fall wire, winch brake, length of remote wire, lower bracket bolt/nut corrosion, leakage, manual handle)  
구명정 윈치 및 와이어 상태 (와이어 신환일 마킹, 윈치 브레이크, remote control wire 길이, 하부 브라켓 볼트 및 너트 부식, 누유, 수동 핸들)",,,,,,,8,,,,,,
,9.6,"Is the lifeboat engine started without fail? (engine trial full ahead/astern(3min), F.O level, check battery and charger, 2 independent engine starting system)  
구명정 엔진 테스트 (전후진(3분이상), 연료량, 배터리 상태, 2개의 엔진시동 시스템)",,,,,,,12,,,,,,
,9.7,"Is the lifeboat secured properly as per the manufacturer's guide? (hook condition, FPD, no gap between davit horn and block)  
구명정 고박 상태 (Hook, FPD, Davit Horn 과 Block 사이 공간 없이 고박)",,,,,,,9,,,,,,
,9.8,"Is the lifeboat possible to lower according to the requirement of SOLAS? (drill test, remote lowering, brake, emergency lowering condition)  
구명정 하강 상태 (강하시험, 원격강하, 브레이크, 2차 비상진수 작동상태)",,,,,,,8,,,,,,
,9.9,"Does the crew familiar with the lifeboat engine trial and his duty in emergency response?  
구명정 시동 친숙화 및 비상배치시 임무 숙지",,,,,,,8,,,,,,
,9.10,"Are emergency lights operable? (check light condition, embarkation station, L/B, L/R instruction, light post, etc)  
비상등 작동 상태 (조명상태, 승정장소, 구명정, 구명벌 사용지침 게시, 조명 기둥상태 등)",,,,,,,8,,,,,,
,9.11,"Condition of Muster list. (PIC of LSA &FFE) 
비상배치표 게시 상태 (구명 소화설비 담당자 표시)",,,,,,,4,,,,,,
,9.12,"Are safety symbols and marking clear and legible? (IMO symbol, S.W.L, open/close marking, etc)
안전 심볼 및 각종 마킹 상태(IMO심볼, S.W.L, open/close 마킹 등)",,,,,,,4,,,,,,
,9.13,"Marking condition of muster station for abandon ship. 
퇴선 집합 장소 마킹 상태",,,,,,,6,,,,,,
